,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS
2662,Juan Toscano-Anderson,/players/t/toscaju01.html,2020,2020,F,0,198cm,94kg,1993-04-10,0,0,0,0,13,5.3,4.0,2.0,46.0,34.8,60.0,52.4,9.4,0.2
2663,Axel Toupane,/players/t/toupaax01.html,2016,2017,GF,1,201cm,89kg,1992-07-23,0,0,0,0,25,3.5,1.3,0.6,38.0,31.8,76.5,46.8,7.0,0.4
2664,Keith Tower,/players/t/towerke01.html,1994,1997,CF,3,211cm,113kg,1970-05-15,0,0,0,0,53,1.8,1.3,0.1,42.9,0.0,55.6,42.9,5.9,0.0
2665,Linton Townes,/players/t/towneli01.html,1983,1985,FG,2,201cm,86kg,1959-11-30,0,0,0,0,60,4.3,1.1,0.5,44.0,36.0,75.0,45.8,11.5,0.6
2666,Karl-Anthony Towns,/players/t/townska01.html,2016,2020,CF,4,211cm,112kg,1995-11-15,2,0,0,0,358,22.7,11.8,2.8,53.4,39.6,83.1,57.8,25.1,50.4
2667,Raymond Townsend,/players/t/townsra01.html,1979,1982,G,3,190cm,79kg,1955-12-20,0,0,0,0,154,4.8,1.0,1.4,41.1,17.1,70.3,41.5,9.8,1.0
2668,Robert Traylor,/players/t/traylro01.html,1999,2005,F,6,203cm,128kg,1977-02-01,0,0,0,0,438,4.8,3.7,0.7,47.4,16.7,57.7,47.5,14.5,13.3
2669,Gary Trent,/players/t/trentga01.html,1996,2004,F,8,203cm,113kg,1974-09-22,0,0,0,0,506,8.6,4.5,1.0,50.1,8.0,64.3,50.1,15.9,23.2
2670,Gary Trent,/players/t/trentga02.html,2019,2020,G,1,196cm,94kg,1999-01-18,0,0,0,0,76,7.6,1.5,0.9,43.2,40.5,76.9,55.1,12.2,2.3
2671,Jeff Trepagnier,/players/t/trepaje01.html,2002,2004,G,2,193cm,90kg,1979-07-11,0,0,0,0,31,2.8,1.4,0.7,33.7,46.2,70.0,36.6,9.5,-0.2
2672,Allonzo Trier,/players/t/trieral01.html,2019,2020,G,1,193cm,90kg,1996-01-17,0,0,0,0,88,9.7,2.6,1.7,45.4,38.4,80.1,51.0,12.5,1.4
2673,Kelly Tripucka,/players/t/tripuke01.html,1982,1991,FG,9,198cm,99kg,1959-02-16,2,0,0,0,707,17.2,3.8,3.0,47.3,36.1,84.9,48.2,16.2,44.4
2674,Cezary Trybański,/players/t/trybace01.html,2003,2004,C,1,218cm,108kg,1979-09-22,0,0,0,0,22,0.7,0.7,0.0,20.8,-,41.7,20.8,-3.0,-0.5
2675,Jake Tsakalidis,/players/t/tsakaja01.html,2001,2007,C,6,218cm,129kg,1979-06-10,0,0,0,0,315,4.8,3.9,0.3,49.0,0.0,65.7,49.0,11.8,9.9
2676,Nikoloz Tskitishvili,/players/t/tskitni01.html,2003,2006,F,3,213cm,102kg,1983-04-14,0,0,0,0,172,2.9,1.8,0.7,30.4,23.5,73.0,33.8,5.2,-1.6
2677,Alando Tucker,/players/t/tuckeal02.html,2008,2010,F,2,198cm,92kg,1984-02-11,0,0,0,0,51,4.1,1.0,0.3,42.3,29.4,78.3,45.1,13.0,0.4
2678,Anthony Tucker,/players/t/tuckean01.html,1995,1995,F,0,203cm,99kg,1969-04-04,0,0,0,0,62,3.9,2.7,1.1,45.7,0.0,61.4,45.7,9.2,0.6
2679,P.J. Tucker,/players/t/tuckepj01.html,2007,2020,F,13,196cm,111kg,1985-05-05,0,0,0,0,654,7.3,5.8,1.4,42.1,36.1,74.8,50.5,10.5,34.1
2680,Rayjon Tucker,/players/t/tuckera01.html,2020,2020,F,0,196cm,95kg,1997-09-24,0,0,0,0,20,3.1,1.0,0.3,46.5,17.6,82.6,50.0,9.7,0.2
2681,Trent Tucker,/players/t/tucketr01.html,1983,1993,G,10,196cm,87kg,1959-12-20,0,0,0,0,756,8.2,2.0,2.0,46.1,40.8,75.4,51.2,12.9,34.3
2682,Ronny Turiaf,/players/t/turiaro01.html,2006,2015,F,9,208cm,112kg,1983-01-13,0,0,0,0,473,4.7,3.7,1.3,53.3,0.0,63.6,53.3,13.8,19.2
2683,Mirsad Türkcan,/players/t/turkcmi01.html,2000,2000,F,0,206cm,107kg,1976-06-07,0,0,0,0,17,1.9,1.9,0.3,36.8,0.0,62.5,36.8,11.1,0.0
2684,Hedo Türkoğlu,/players/t/turkohe01.html,2001,2015,F,14,208cm,99kg,1979-03-19,0,0,0,0,997,11.1,4.0,2.8,42.6,38.4,78.4,49.5,14.3,63.3
2685,Andre Turner,/players/t/turnean01.html,1987,1992,G,5,180cm,72kg,1964-12-13,0,0,0,0,170,4.5,1.5,3.1,42.2,23.7,76.4,43.2,12.0,1.8
2686,Elston Turner,/players/t/turneel01.html,1982,1989,GF,7,196cm,86kg,1959-06-10,0,0,0,0,505,4.7,2.7,1.8,43.2,15.2,71.4,43.3,9.6,8.5
2687,Evan Turner,/players/t/turneev01.html,2011,2020,G,9,198cm,99kg,1988-10-27,0,0,0,0,705,9.7,4.6,3.5,43.4,29.4,78.2,45.5,11.9,20.2
2688,Henry Turner,/players/t/turnehe02.html,1990,1995,GF,5,201cm,90kg,1966-08-18,0,0,0,0,66,3.4,1.2,0.4,45.3,25.0,60.0,45.8,13.7,0.4
2689,Jeff Turner,/players/t/turneje01.html,1985,1996,FC,11,206cm,104kg,1962-04-09,0,0,0,0,612,6.0,3.3,1.0,46.7,34.4,76.9,47.8,8.4,8.9
2690,John Turner,/players/t/turnejo01.html,1992,1992,F,0,203cm,111kg,1967-11-30,0,0,0,0,42,2.8,1.9,0.3,43.9,-,52.5,43.9,7.8,-0.1
2691,Myles Turner,/players/t/turnemy01.html,2016,2020,CF,4,211cm,113kg,1996-03-24,0,0,0,0,342,12.7,6.7,1.2,48.8,35.7,76.8,52.6,16.9,26.4
2692,Wayne Turner,/players/t/turnewa01.html,2000,2000,G,0,188cm,86kg,1976-03-22,0,0,0,0,3,1.3,1.0,1.7,16.7,-,33.3,16.7,-1.7,-0.1
2693,Melvin Turpin,/players/t/turpime01.html,1985,1990,C,5,211cm,108kg,1960-12-28,0,0,0,0,361,8.5,4.6,0.5,51.6,11.1,77.7,51.6,14.3,13.7
2694,B.J. Tyler,/players/t/tylerbj01.html,1995,1995,G,0,185cm,83kg,1971-04-30,0,0,0,0,55,3.5,1.1,3.2,38.1,31.4,70.0,42.3,8.5,-0.7
2695,Jeremy Tyler,/players/t/tylerje01.html,2012,2014,C,2,208cm,117kg,1991-06-21,0,0,0,0,104,3.6,2.6,0.2,45.0,0.0,55.7,45.0,11.1,0.3
2696,Terry Tyler,/players/t/tylerte01.html,1979,1989,FG,10,201cm,97kg,1956-10-30,0,0,0,0,871,10.2,5.4,1.2,48.4,12.2,70.3,48.5,14.6,40.8
2697,Edwin Ubiles,/players/u/ubileed01.html,2012,2012,G,0,198cm,92kg,1986-11-26,0,0,0,0,4,3.5,2.5,0.3,27.8,20.0,100.0,30.6,7.3,0.0
2698,Ekpe Udoh,/players/u/udohek01.html,2011,2019,CF,8,208cm,111kg,1987-05-20,0,0,0,0,384,3.5,2.9,0.7,45.3,0.0,71.8,45.3,12.0,10.4
2699,Ime Udoka,/players/u/udokaim01.html,2004,2011,F,7,198cm,97kg,1977-08-09,0,0,0,0,316,5.2,2.9,1.0,41.7,35.6,70.5,49.2,10.8,8.8
2700,Beno Udrih,/players/u/udrihbe01.html,2005,2017,G,12,190cm,92kg,1982-07-05,0,0,0,0,831,8.4,2.1,3.4,46.3,34.9,83.3,50.2,14.0,31.4
2701,Roko Ukić,/players/u/ukicro01.html,2009,2010,G,1,196cm,83kg,1984-05-12,0,0,0,0,85,4.0,0.9,1.9,38.7,18.9,74.6,40.7,10.0,-0.2
2702,Tyler Ulis,/players/u/ulisty01.html,2017,2019,G,2,178cm,72kg,1996-01-05,0,0,0,0,133,7.5,1.7,4.0,40.3,28.0,80.8,43.5,11.3,0.5
2703,Kelvin Upshaw,/players/u/upshake01.html,1989,1991,G,2,188cm,81kg,1963-01-24,0,0,0,0,120,5.4,1.2,2.1,45.3,23.7,79.5,46.5,13.1,1.6
2704,Jarrod Uthoff,/players/u/uthofja01.html,2017,2020,F,3,206cm,100kg,1993-05-19,0,0,0,0,16,3.7,1.8,0.6,41.1,33.3,77.8,46.4,12.3,0.2
2705,Ben Uzoh,/players/u/uzohbe01.html,2011,2012,G,1,190cm,92kg,1988-03-19,0,0,0,0,60,4.0,2.1,2.2,39.5,33.3,58.7,40.1,13.0,0.7
2706,Jonas Valančiūnas,/players/v/valanjo01.html,2013,2020,C,7,211cm,120kg,1992-05-06,0,0,0,0,559,12.4,8.9,0.9,56.2,35.5,78.1,57.0,20.2,52.3
2707,Darnell Valentine,/players/v/valenda01.html,1982,1991,G,9,185cm,83kg,1959-02-03,0,0,0,0,620,8.7,2.1,5.0,43.7,26.1,78.7,44.2,14.0,22.1
2708,Denzel Valentine,/players/v/valende01.html,2017,2020,G,3,193cm,99kg,1993-11-16,0,0,0,0,170,7.8,3.6,2.1,40.1,36.6,75.3,50.6,10.9,3.6
2709,Ronnie Valentine,/players/v/valenro01.html,1981,1981,F,0,201cm,95kg,1957-11-27,0,0,0,0,24,3.5,1.3,0.3,37.8,50.0,47.4,38.3,10.3,-0.3
2710,Nick Van Exel,/players/v/vanexni01.html,1994,2006,G,12,185cm,77kg,1971-11-27,1,0,0,0,880,14.4,2.9,6.6,40.5,35.7,79.4,47.1,15.8,55.9
2711,Keith Van Horn,/players/v/vanhoke01.html,1998,2006,F,8,208cm,99kg,1975-10-23,0,0,0,0,575,16.0,6.8,1.6,44.3,36.1,83.5,48.2,16.8,41.7
2712,Fred VanVleet,/players/v/vanvlfr01.html,2017,2020,G,3,185cm,89kg,1994-02-25,0,0,0,0,231,10.5,2.6,4.1,41.2,39.3,84.2,50.5,15.0,15.1
2713,Logan Vander Velden,/players/v/vandelo01.html,1996,1996,F,0,203cm,97kg,1971-04-03,0,0,0,0,15,0.6,0.4,0.1,21.4,0.0,75.0,21.4,1.8,-0.1
2714,Jarred Vanderbilt,/players/v/vandeja01.html,2019,2020,F,1,206cm,97kg,1999-04-03,0,0,0,0,28,1.3,1.1,0.2,51.9,0.0,66.7,51.9,10.4,0.0
2715,Kiki Vandeweghe,/players/v/vandeki01.html,1981,1993,F,12,203cm,99kg,1958-08-01,2,0,0,0,810,19.7,3.4,2.1,52.5,36.8,87.2,53.4,18.4,75.6
2716,Nick Vanos,/players/v/vanosni01.html,1986,1987,C,1,216cm,115kg,1963-04-13,0,0,0,0,68,3.3,3.5,0.9,38.3,0.0,56.1,38.3,7.7,-0.1
2717,David Vanterpool,/players/v/vanteda01.html,2001,2001,G,0,196cm,90kg,1973-03-31,0,0,0,0,22,5.5,1.7,3.0,41.8,0.0,60.0,41.8,10.9,0.0
2718,Ratko Varda,/players/v/vardara01.html,2002,2002,C,0,216cm,117kg,1979-05-06,0,0,0,0,1,5.0,1.0,0.0,66.7,-,100.0,66.7,15.0,0.0
2719,Anderson Varejão,/players/v/varejan01.html,2005,2017,FC,12,208cm,123kg,1982-09-28,0,0,0,0,627,7.3,7.2,1.2,51.0,2.4,63.1,51.1,15.6,46.4
2720,Jarvis Varnado,/players/v/varnaja01.html,2013,2014,F,1,206cm,104kg,1988-03-01,0,0,0,0,37,2.9,1.9,0.4,58.2,-,51.8,58.2,11.5,0.7
2721,Greivis Vásquez,/players/v/vasqugr01.html,2011,2017,G,6,198cm,98kg,1987-01-16,0,0,0,0,401,9.0,2.5,4.8,41.8,34.9,81.7,48.0,13.7,12.6
2722,David Vaughn,/players/v/vaughda02.html,1996,1999,F,3,206cm,108kg,1973-03-23,0,0,0,0,118,2.9,3.1,0.3,42.3,0.0,63.8,42.3,10.1,0.6
2723,Jacque Vaughn,/players/v/vaughja01.html,1998,2009,G,11,185cm,86kg,1975-02-11,0,0,0,0,776,4.5,1.3,2.5,42.9,35.2,77.9,44.5,10.1,15.4
2724,Rashad Vaughn,/players/v/vaughra01.html,2016,2018,G,2,198cm,91kg,1996-08-16,0,0,0,0,139,3.0,1.1,0.5,33.7,31.3,69.2,42.4,5.9,-0.6
2725,Loy Vaught,/players/v/vaughlo01.html,1991,2001,F,10,206cm,104kg,1968-02-27,0,0,0,0,689,10.1,7.1,0.9,50.4,24.4,71.8,50.6,15.4,35.8
2726,Pete Verhoeven,/players/v/verhope01.html,1982,1987,F,5,206cm,97kg,1959-02-15,0,0,0,0,282,3.5,2.3,0.5,50.5,25.0,68.9,50.5,10.3,5.2
2727,Jan Veselý,/players/v/veselja01.html,2012,2014,F,2,211cm,108kg,1990-04-24,0,0,0,0,162,3.6,3.5,0.6,52.1,0.0,40.8,52.1,10.9,4.0
2728,Gundars Vētra,/players/v/vetragu01.html,1993,1993,F,0,198cm,88kg,1967-05-22,0,0,0,0,13,3.5,0.6,0.5,47.5,100.0,66.7,51.3,13.6,0.1
2729,João Vianna,/players/v/viannjo01.html,1992,1992,F,0,206cm,97kg,1966-11-15,0,0,0,0,1,2.0,0.0,2.0,50.0,-,-,50.0,1.0,0.0
2730,Charlie Villanueva,/players/v/villach01.html,2006,2016,F,10,211cm,105kg,1984-08-24,0,0,0,0,656,10.4,4.6,0.8,43.5,34.1,77.2,49.4,16.0,22.6
2731,Gabe Vincent,/players/v/vincega01.html,2020,2020,G,0,190cm,90kg,1996-06-14,0,0,0,0,9,2.4,0.6,0.7,21.6,22.2,-,29.7,1.2,-0.2
2732,Jay Vincent,/players/v/vinceja01.html,1982,1990,F,8,201cm,99kg,1959-06-10,0,0,0,0,576,15.2,5.5,2.0,47.4,14.8,78.4,47.4,15.9,27.5
2733,Sam Vincent,/players/v/vincesa01.html,1986,1992,G,6,188cm,83kg,1963-05-18,0,0,0,0,396,7.8,2.1,3.9,44.9,18.2,86.3,45.2,14.1,10.9
2734,Marcus Vinicius,/players/v/vincima01.html,2007,2008,F,1,203cm,102kg,1984-05-31,0,0,0,0,26,1.9,0.7,0.3,45.7,42.1,55.6,57.1,8.8,0.2
2735,Fred Vinson,/players/v/vinsofr01.html,1995,2000,G,5,193cm,86kg,1971-01-28,0,0,0,0,13,1.3,0.1,0.1,25.0,23.1,66.7,31.3,-2.0,-0.2
2736,Gary Voce,/players/v/vocega01.html,1990,1990,F,0,206cm,108kg,1965-11-24,0,0,0,0,1,2.0,2.0,0.0,33.3,-,-,33.3,19.2,0.0
2737,Alexander Volkov,/players/v/volkoal01.html,1990,1992,C,2,208cm,98kg,1964-03-28,0,0,0,0,149,6.8,2.6,2.2,45.5,33.3,61.3,48.3,14.1,4.5
2738,Noah Vonleh,/players/v/vonleno01.html,2015,2020,F,5,208cm,116kg,1995-08-24,0,0,0,0,335,5.0,5.2,0.8,46.0,31.0,69.1,49.4,12.0,9.3
2739,Jake Voskuhl,/players/v/voskuja01.html,2001,2009,C,8,211cm,111kg,1977-11-01,0,0,0,0,450,4.0,3.4,0.5,48.7,33.3,71.4,48.8,10.8,11.6
2740,Danny Vranes,/players/v/vraneda01.html,1982,1988,F,6,201cm,95kg,1958-10-29,0,0,0,0,510,5.1,3.9,1.2,49.6,10.5,57.0,49.6,9.3,15.3
2741,Slavko Vraneš,/players/v/vranesl01.html,2004,2004,C,0,226cm,124kg,1983-01-30,0,0,0,0,1,0.0,0.0,0.0,0.0,-,-,0.0,-20.4,0.0
2742,Stojko Vranković,/players/v/vrankst01.html,1991,1999,C,8,218cm,117kg,1964-01-22,0,0,0,0,170,2.8,3.0,0.3,47.7,-,59.8,47.7,9.7,1.3
2743,Brett Vroman,/players/v/vromabr01.html,1981,1981,C,0,213cm,99kg,1955-12-25,0,0,0,0,11,3.1,2.3,0.8,37.0,0.0,73.7,37.0,11.8,0.1
2744,Jackson Vroman,/players/v/vromaja01.html,2005,2006,FC,1,208cm,99kg,1981-06-06,0,0,0,0,87,3.3,3.0,0.6,40.8,0.0,58.0,40.8,8.2,0.0
2745,Nikola Vučević,/players/v/vucevni01.html,2012,2020,C,8,211cm,117kg,1990-10-24,1,0,0,0,598,16.1,10.2,2.6,49.9,33.5,74.6,51.6,20.5,48.1
2746,Sasha Vujačić,/players/v/vujacsa01.html,2005,2017,G,12,201cm,88kg,1984-03-08,0,0,0,0,581,5.3,1.9,1.3,39.0,36.7,85.8,48.7,11.5,16.0
2747,Dean Wade,/players/w/wadede01.html,2020,2020,F,0,206cm,103kg,1996-11-20,0,0,0,0,12,1.7,1.6,0.2,69.2,50.0,0.0,76.9,13.9,0.2
2748,Dwyane Wade,/players/w/wadedw01.html,2004,2019,G,15,193cm,99kg,1982-01-17,13,8,3,0,1054,22.0,4.7,5.4,48.0,29.3,76.5,49.5,23.5,120.7
2749,Mark Wade,/players/w/wadema01.html,1988,1990,G,2,180cm,72kg,1965-10-15,0,0,0,0,12,0.7,1.3,3.0,15.0,0.0,50.0,15.0,4.9,-0.3
2750,Von Wafer,/players/w/wafervo01.html,2006,2012,G,6,196cm,95kg,1985-07-21,0,0,0,0,200,5.3,1.2,0.7,42.0,32.5,75.1,47.5,11.8,3.3
2751,Dajuan Wagner,/players/w/wagneda02.html,2003,2007,G,4,188cm,90kg,1983-02-04,0,0,0,0,103,9.4,1.4,1.9,36.6,32.1,77.0,41.4,9.9,0.0
2752,Milt Wagner,/players/w/wagnemi01.html,1988,1991,G,3,196cm,83kg,1963-02-20,0,0,0,0,53,4.1,0.7,1.4,42.2,29.6,87.5,44.1,10.6,0.4
2753,Moritz Wagner,/players/w/wagnemo01.html,2019,2020,FC,1,211cm,111kg,1997-04-26,0,0,0,0,88,6.8,3.5,0.9,49.4,29.9,81.8,54.8,13.4,1.9
2754,Dion Waiters,/players/w/waitedi01.html,2013,2020,G,7,190cm,97kg,1991-12-10,0,0,0,0,419,13.1,2.6,2.8,41.2,34.6,69.4,46.8,12.0,8.8
2755,Granville Waiters,/players/w/waitegr01.html,1984,1988,C,4,211cm,102kg,1961-01-08,0,0,0,0,249,2.4,2.2,0.5,45.8,0.0,55.9,45.8,8.3,1.9
2756,Andre Wakefield,/players/w/wakefan01.html,1979,1980,G,1,190cm,79kg,1955-01-11,0,0,0,0,81,2.3,1.0,0.9,35.4,-,70.8,35.4,4.4,-1.1
2757,Antoine Walker,/players/w/walkean02.html,1997,2008,F,11,203cm,101kg,1976-08-12,3,0,0,0,893,17.5,7.7,3.5,41.4,32.5,63.3,46.1,16.0,38.1
2758,Darrell Walker,/players/w/walkeda01.html,1984,1993,G,9,193cm,81kg,1961-03-09,0,0,0,0,720,8.9,4.4,4.6,43.5,5.9,71.3,43.5,13.7,27.4
2759,Henry Walker,/players/w/walkebi01.html,2009,2015,F,6,198cm,99kg,1987-10-09,0,0,0,0,181,6.0,2.2,0.8,44.6,36.9,76.0,55.6,10.8,5.0
2760,Kemba Walker,/players/w/walkeke02.html,2012,2020,G,8,183cm,83kg,1990-05-08,4,0,0,0,661,19.9,3.8,5.4,41.9,36.0,83.7,48.6,19.4,54.4
2761,Kenny Walker,/players/w/walkeke01.html,1987,1995,F,8,203cm,95kg,1964-08-18,0,0,0,0,448,7.0,4.0,0.7,48.5,20.6,74.9,48.7,11.9,17.9
2762,Lonnie Walker,/players/w/walkelo01.html,2019,2020,G,1,196cm,92kg,1998-12-14,0,0,0,0,78,5.6,2.0,1.0,41.7,40.4,73.2,47.4,10.5,0.4
2763,Samaki Walker,/players/w/walkesa01.html,1997,2006,F,9,206cm,108kg,1976-02-25,0,0,0,0,445,5.3,4.7,0.6,46.2,11.1,63.0,46.2,12.7,14.2
2764,John Wall,/players/w/walljo01.html,2011,2019,G,8,193cm,95kg,1990-09-06,5,0,0,0,573,19.0,4.3,9.2,43.3,32.4,78.1,46.2,19.4,44.3
2765,Ben Wallace,/players/w/wallabe01.html,1997,2012,FC,15,206cm,108kg,1974-09-10,4,5,6,0,1088,5.7,9.6,1.3,47.4,13.7,41.4,47.5,15.5,93.5
2766,Gerald Wallace,/players/w/wallage01.html,2002,2015,F,13,201cm,97kg,1982-07-23,1,0,0,0,832,11.9,5.8,2.1,46.9,31.2,70.9,49.6,16.3,59.7
2767,John Wallace,/players/w/wallajo01.html,1997,2004,F,7,203cm,102kg,1974-02-09,0,0,0,0,381,7.6,2.8,0.7,46.2,30.0,74.0,46.5,14.0,6.4
2768,Rasheed Wallace,/players/w/wallara01.html,1996,2013,FC,17,208cm,102kg,1974-09-17,4,0,0,0,1109,14.4,6.7,1.8,46.7,33.6,72.1,50.7,17.0,105.1
2769,Tyrone Wallace,/players/w/wallaty01.html,2018,2020,G,2,196cm,89kg,1994-06-10,0,0,0,0,106,5.2,2.2,1.2,42.5,20.3,67.1,44.0,8.3,0.2
2770,Jamie Waller,/players/w/walleja01.html,1988,1988,G,0,193cm,97kg,1964-11-20,0,0,0,0,9,4.7,1.4,0.3,40.0,0.0,55.6,40.0,7.1,-0.2
2771,Taurean Waller-Prince,/players/p/princta02.html,2017,2020,F,3,201cm,98kg,1994-03-22,0,0,0,0,260,11.6,4.3,1.9,41.2,36.6,81.8,50.4,11.2,5.1
2772,Matt Walsh,/players/w/walshma01.html,2006,2006,GF,0,198cm,92kg,1982-12-02,0,0,0,0,2,1.0,0.0,0.0,100.0,-,0.0,100.0,-2.4,0.0
2773,Rex Walters,/players/w/waltere01.html,1994,2000,G,6,193cm,86kg,1970-03-12,0,0,0,0,335,4.6,1.2,1.7,44.1,36.1,80.9,51.4,11.2,6.3
2774,Derrick Walton,/players/w/waltode01.html,2018,2020,G,2,183cm,85kg,1995-04-03,0,0,0,0,42,2.0,0.8,1.0,40.6,41.5,86.7,53.9,9.7,1.0
2775,Luke Walton,/players/w/waltolu01.html,2004,2013,F,9,203cm,106kg,1980-03-28,0,0,0,0,564,4.7,2.8,2.3,42.9,32.6,71.5,46.6,11.7,13.5
2776,Brad Wanamaker,/players/w/wanambr01.html,2019,2020,G,1,190cm,95kg,1989-07-25,0,0,0,0,107,5.9,1.7,2.2,45.4,37.6,91.5,51.1,13.1,4.5
2777,Charlie Ward,/players/w/wardch01.html,1995,2005,G,10,188cm,86kg,1970-10-12,0,0,0,0,630,6.3,2.6,4.0,40.8,36.4,77.1,50.2,13.8,33.0
2778,Casper Ware,/players/w/wareca01.html,2014,2014,G,0,178cm,79kg,1990-01-17,0,0,0,0,9,5.3,1.0,1.1,42.9,33.3,83.3,51.2,13.0,0.2
2779,Jameel Warney,/players/w/warneja01.html,2018,2018,F,0,203cm,117kg,1994-01-31,0,0,0,0,3,5.7,3.0,0.0,58.3,-,60.0,58.3,22.5,0.1
2780,T.J. Warren,/players/w/warretj01.html,2015,2020,F,5,203cm,99kg,1993-09-05,0,0,0,0,328,15.5,4.1,1.2,50.7,36.1,77.9,53.6,16.7,19.5
2781,Willie Warren,/players/w/warrewi01.html,2011,2011,G,0,193cm,92kg,1989-10-22,0,0,0,0,19,1.9,0.6,1.4,37.1,33.3,75.0,44.3,10.8,0.2
2782,Bryan Warrick,/players/w/warribr01.html,1983,1986,G,3,196cm,88kg,1959-07-22,0,0,0,0,169,4.0,1.3,2.6,44.3,20.8,74.7,44.7,9.0,1.6
2783,Hakim Warrick,/players/w/warriha01.html,2006,2013,F,7,206cm,99kg,1982-07-08,0,0,0,0,526,9.4,4.0,0.8,49.0,19.1,72.6,49.3,15.5,20.4
2784,Chris Washburn,/players/w/washbch01.html,1987,1988,C,1,211cm,102kg,1965-05-13,0,0,0,0,72,3.1,2.4,0.3,41.2,0.0,43.9,41.2,7.6,-0.6
2785,Julian Washburn,/players/w/washbju01.html,2019,2019,F,0,203cm,95kg,1991-12-18,0,0,0,0,18,2.2,2.3,0.8,33.3,20.8,75.0,38.5,6.5,0.1
2786,Darius Washington,/players/w/washida01.html,2008,2008,G,0,188cm,88kg,1985-12-06,0,0,0,0,18,2.9,1.1,0.8,43.8,33.3,53.8,47.9,9.0,0.0
2787,Duane Washington,/players/w/washidu01.html,1988,1993,G,5,193cm,88kg,1964-08-31,0,0,0,0,19,2.8,1.3,2.1,38.3,50.0,80.0,40.4,13.4,0.4
2788,Eric Washington,/players/w/washier01.html,1998,1999,G,1,193cm,86kg,1974-03-23,0,0,0,0,104,6.9,2.1,1.0,40.2,34.6,75.7,46.1,9.5,0.1
2789,P.J. Washington,/players/w/washipj01.html,2020,2020,F,0,201cm,104kg,1998-08-23,0,0,0,0,58,12.2,5.4,2.1,45.5,37.4,64.7,52.8,12.4,2.0
2790,Pearl Washington,/players/w/washipe01.html,1987,1989,G,2,188cm,86kg,1964-01-06,0,0,0,0,194,8.6,1.9,3.8,45.2,18.4,74.6,45.8,12.4,1.9
2791,Yuta Watanabe,/players/w/watanyu01.html,2019,2020,F,1,203cm,97kg,1994-10-13,0,0,0,0,33,2.3,1.5,0.4,35.3,20.8,55.6,38.2,6.3,-0.1
2792,Tremont Waters,/players/w/watertr01.html,2020,2020,G,0,178cm,79kg,1998-01-10,0,0,0,0,11,3.6,1.1,1.5,28.6,16.7,100.0,32.7,4.3,-0.3
2793,Darryl Watkins,/players/w/watkida01.html,2008,2012,C,4,211cm,117kg,1984-11-08,0,0,0,0,14,2.5,2.8,0.2,41.4,-,47.8,41.4,6.5,-0.1
2794,C.J. Watson,/players/w/watsocj01.html,2008,2017,G,9,188cm,79kg,1984-04-17,0,0,0,0,600,7.2,1.9,2.5,41.9,37.3,81.2,48.4,13.1,24.1
2795,Earl Watson,/players/w/watsoea01.html,2002,2014,G,12,185cm,88kg,1979-06-12,0,0,0,0,878,6.4,2.3,4.4,41.1,32.4,70.3,46.0,12.1,19.2
2796,Jamie Watson,/players/w/watsoja01.html,1995,1999,F,4,201cm,86kg,1972-02-23,0,0,0,0,102,3.2,1.5,1.1,46.8,31.6,69.4,49.1,9.2,1.2
2797,Paul Watson,/players/w/watsopa01.html,2020,2020,G,0,201cm,97kg,1994-12-30,0,0,0,0,10,3.1,1.7,0.8,38.5,33.3,77.8,46.2,12.6,0.2
2798,Maalik Wayns,/players/w/waynsma01.html,2013,2014,G,1,188cm,90kg,1991-05-02,0,0,0,0,29,2.7,0.3,1.0,30.0,22.6,89.5,33.9,5.7,-0.3
2799,David Wear,/players/w/wearda01.html,2015,2015,F,0,208cm,104kg,1990-09-21,0,0,0,0,2,0.0,1.0,0.5,0.0,0.0,-,0.0,2.4,0.0
2800,Travis Wear,/players/w/weartr01.html,2015,2018,F,3,208cm,104kg,1990-09-21,0,0,0,0,68,4.0,2.1,0.7,38.8,36.4,82.4,43.8,8.1,-0.1
2801,Clarence Weatherspoon,/players/w/weathcl01.html,1993,2005,F,12,198cm,108kg,1970-09-08,0,0,0,0,915,11.5,7.5,1.5,47.1,19.6,74.3,47.2,15.6,58.4
2802,Quinndary Weatherspoon,/players/w/weathqu01.html,2020,2020,G,0,190cm,92kg,1996-09-10,0,0,0,0,11,1.1,0.6,1.0,29.4,20.0,50.0,32.4,3.2,-0.1
2803,Kyle Weaver,/players/w/weaveky01.html,2009,2011,G,2,198cm,91kg,1986-02-18,0,0,0,0,73,5.0,2.2,1.6,44.1,35.3,73.6,51.0,10.3,1.5
2804,James Webb,/players/w/webbja01.html,2018,2018,F,0,206cm,91kg,1993-08-19,0,0,0,0,10,1.6,2.4,0.4,25.0,21.1,-,33.3,2.2,-0.1
2805,Marcus Webb,/players/w/webbma01.html,1993,1993,FC,0,206cm,115kg,1970-05-09,0,0,0,0,9,4.3,1.1,0.2,52.0,0.0,61.9,52.0,20.1,0.1
2806,Spud Webb,/players/w/webbsp01.html,1986,1998,G,12,168cm,60kg,1963-07-13,0,0,0,0,814,9.9,2.1,5.3,45.2,31.4,84.8,47.7,15.1,40.2
